status,cardId,merchantId,merchantName,title,officialUrl,finalUrl,reasons,titleAmounts,urlAmounts,pageIdentity,priceEvidence,proposedCurrency,proposedValues,explicitDigitalEvidence,existingVariantCount
REVIEW,cmt8o9lfb000130iysqk7vztw,cmt8o9l84000030iymso77cud,Access Fashion,Access Fashion Gift Card,https://www.accessfashion.gr/gift-card-100,https://www.accessfashion.gr/gift-card-100,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,100,Access Fashion | Δωροεπιταγή αξίας 100 ευρώ|Δωροεπιταγή αξίας 100 ευρώ|Access Fashion|Αρχική,[object Object],,,,1
REVIEW,cmta1f09t000nq8iyx3uehika,cmta1f03n000mq8iyzxhzrwvc,Adagio,Adagio Gift Voucher 200 euro,https://www.adagio.gr/el/,https://www.adagio.gr/el/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,200,,Checking you are human,,EUR,,,0
REVIEW,cmta1k3kn00joq8iyvt4mz4a4,cmta1k3e400jnq8iyfrp6th99,Afroditesbeaute,Gift card 50,https://afroditesbeaute.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,https://afroditesbeaute.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,50,,Δωροκάρτα | Afrodite's Beaute|Δωροκάρτα|Δωροκάρτα | Afrodite&#039;s Beaute|Home|Afrodite&#039;s Beaute,,,,,0
REVIEW,cmta1gg4h005sq8iyehntb76m,cmta1gfy3005rq8iyb6n5rmq0,Agathou,Δωροεπιταγη 70€ - Agathou Beauty & Spa,https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/,https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/,PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,70,,ΔΩΡΟΚΑΡΤΕΣ - Agathou Beauty & Spa|ΔΩΡΟΚΑΡΤΕΣ|ΔΩΡΟΚΑΡΤΕΣ Αρχεία|ΔΩΡΟΚΑΡΤΕΣ - Agathou Beauty &amp; Spa|Αρχική|Agathou Beauty &amp; Spa|Αγάθου Beauty & Spa Eshop,,EUR,,,0
REVIEW,cmta4y8xk0009sciynr5631pq,cmta4y8rm0008sciyz71rugn9,Alouette,E-Gift Card for all! - Alouette | Βρεφικά & Παιδικά Ρούχα,https://www.alouette.gr/el/4599-e-gift-card,https://www.alouette.gr/el/4599-e-gift-card,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED,,4599,E-Gift Card for all! - Alouette | Βρεφικά & Παιδικά Ρούχα|E-Gift Card|E-Gift Card for all!|Home,,,,E-Gift Card,0
REVIEW,cmta1hb5r008iq8iyqvjs32oy,cmta1hayg008hq8iyxn9dz5cg,Ammashop,GIFT CARD 100€ - ammashop,https://www.ammashop.gr/gift-cards,https://www.ammashop.gr/gift-cards,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,100,,GIFT CARDS - ammashop|ammashop,,EUR,,,0
REVIEW,cmta1lpfx00q6q8iyf11yv5pi,cmta1lp9t00q5q8iyz374e7wj,Amourianosoptics,GIFT CARD 200€,https://amourianosoptics.gr/en/accessories-html/gift-cards.html,https://amourianosoptics.gr/en/accessories-html/gift-cards.html,TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,200,,GIFT CARDS - Accessories|GIFT CARDS,,EUR,,,0
REVIEW,cmta1k5f500jwq8iyplvt7fkz,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,Gift Card 50 euro. Give the gift of love to your beloved one ...,https://annamariamazaraki.gr/,https://www.annamariamazaraki.com/el,CROSS_DOMAIN_REDIRECT|PAGE_IDENTITY_NOT_GIFT_CARD|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|DELIVERY_TYPE_UNRESOLVED,50,,Anna Maria Mazaraki,,EUR,,,0
REVIEW,cmtb6ugoe000f3giyxjtw5z05,cmtb6ugje000e3giyaubvped2,Art Center,Δωροεπιταγές,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,URL_DENOMINATION_ONLY|TITLE_AMOUNT_NOT_CONFIRMED_ON_PAGE|CURRENCY_UNRESOLVED|DELIVERY_TYPE_UNRESOLVED,,4565,Δωροεπιταγές|Art-Center,,,,,0
ERROR,cmta1hfcn008sq8iy6i2fe0bp,cmta1hf65008rq8iyfh7t6wpa,Artcolour,Art & Colour Gift Card - €200,https://artcolour.gr/,,PAGE_HTTP_403,200,,,,EUR,,,0
